item,categoria,subcategoria,nombre_producto,precio,costo_produccion
100,aperitivos,sopas,sopa_de_tomate,0.0,0.0
101,aperitivos,sopas,sopa_de_pollo,21375.0,18596.2
102,aperitivos,ensaladas,ensalada_de_la_huerta,24225.0,19864.5
103,aperitivos,ensaladas,ensalada_cesar,22800.0,19608.0
104,aperitivos,platos_de_aperitivo,rollitos_de_primavera,22800.0,18924.0
105,aperitivos,platos_de_aperitivo,samosas,28500.0,25650.0
106,aperitivos,platos_de_aperitivo,bruschetta,21375.0,17313.8
107,aperitivos,mariscos,coctel_de_camarones,21375.0,17313.8
108,aperitivos,mariscos,anillos_de_calamares,17100.0,14022.0
109,aperitivos,mariscos,brochetas_de_mariscos,22800.0,19836.0
200,platos_principales,platos_de_carne,filetes,250800.0,205656.0
201,platos_principales,platos_de_carne,hamburguesas,280725.0,224580.0
202,platos_principales,platos_de_carne,chuletas_de_cerdo,230850.0,193914.0
203,platos_principales,platos_de_carne,chuletas_de_cordero,262200.0,230736.0
204,platos_principales,aves_de_corral,pechuga_de_pollo,282150.0,248292.0
205,platos_principales,aves_de_corral,pato_asado,155325.0,124260.0
206,platos_principales,aves_de_corral,platos_de_pavo,257925.0,208919.3
207,platos_principales,mariscos,pescado_asado,175275.0,150736.5
208,platos_principales,mariscos,pescado_frito,229425.0,190422.8
209,platos_principales,mariscos,pastas_con_mariscos,205200.0,170316.0
210,platos_principales,mariscos,rollos_de_sushi,182400.0,164160.0
211,platos_principales,pastas,espaguetis,272175.0,225905.2
212,platos_principales,pastas,fetuccini,208050.0,170601.0
213,platos_principales,pastas,lasana,215175.0,176443.5
214,platos_principales,pastas,ravioles,199500.0,161595.0
215,platos_principales,vegano,salteado_de_verduras,247950.0,208278.0
216,platos_principales,vegano,platos_de_tofu,205200.0,164160.0
217,platos_principales,vegano,pasta_vegetariana,168150.0,147972.0
218,platos_principales,vegano,ensaladas,276450.0,240511.5
301,lados,papas,pure_de_papas,37050.0,30381.0
302,lados,papas,papas_fritas,58425.0,52582.5
303,lados,papas,patatas_asadas,51300.0,45657.0
304,lados,papas,gajos_de_papa,44175.0,36223.5
305,lados,verduras,verduras_al_vapor,59850.0,48478.5
306,lados,verduras,verduras_asadas,69825.0,56558.2
307,lados,verduras,mezcla_de_vegetales_mixtos,42750.0,36337.5
308,lados,arroz,arroz_sencillo,48450.0,38760.0
309,lados,arroz,arroz_frito,28500.0,24225.0
310,lados,arroz,pilaf,39900.0,34314.0
311,lados,pan,pan_de_ajo,39900.0,33915.0
312,lados,pan,rollitos_de_cena,65550.0,57684.0
313,lados,pan,pan_naan,62700.0,53295.0
401,postres,tortas,pastel_de_chocolate,62700.0,56430.0
402,postres,tortas,tarta_de_queso,69825.0,59351.2
403,postres,tortas,pastel_de_zanahoria,61275.0,49020.0
404,postres,tortas,tiramisu,85500.0,68400.0
405,postres,helado,varios_sabores_con_toppings,72675.0,61773.8
406,postres,tartas,tarta_de_manzana,81225.0,69853.5
407,postres,tartas,pastel_de_cereza,68400.0,60192.0
408,postres,tartas,pastel_de_lima,81225.0,69041.2
409,postres,pudines,pudin_de_chocolate,54150.0,43861.5
410,postres,pudines,arroz_con_leche,71250.0,64125.0
411,postres,pudines,natilla,82650.0,70252.5
412,postres,frutas,ensalada_de_fruta,89775.0,80797.5
413,postres,frutas,frutas_rebanadas,61275.0,50858.2
414,postres,frutas,plato_de_frutas,44175.0,37548.8
501,bebidas,bebidas_no_alcoholicas,agua,11400.0,10146.0
502,bebidas,bebidas_no_alcoholicas,soda,11400.0,9690.0
503,bebidas,bebidas_no_alcoholicas,jugo,22800.0,19836.0
504,bebidas,bebidas_no_alcoholicas,limonada,11400.0,9348.0
505,bebidas,bebidas_no_alcoholicas,te_helado,12825.0,10516.5
506,bebidas,bebidas_no_alcoholicas,cafe,8550.0,7695.0
507,bebidas,bebidas_alcoholicas,cerveza,11400.0,9804.0
508,bebidas,bebidas_alcoholicas,vino,14250.0,11400.0
509,bebidas,bebidas_alcoholicas,cocteles,14250.0,12540.0
510,bebidas,bebidas_alcoholicas,whisky,24225.0,20833.5
511,bebidas,bebidas_alcoholicas,vodka,7125.0,6341.2
512,bebidas,bebidas_alcoholicas,licores,14250.0,12255.0
